,name,category,gender,nr_link_out,nr_link_in,tot_target_count,unf_target_count,fin_target_count,succ_rate
3020,Martin_Luther,Religious_figures_and_leaders,male,22,38,19.0,2.0,17.0,0.8947368421052632
3021,Martin_Luther_King%2C_Jr.,Political_People,male,44,24,14.0,1.0,13.0,0.9285714285714286
3022,Martin_Van_Buren,USA_Presidents,male,20,10,12.0,1.0,11.0,0.9166666666666666
3023,Martina_Navratilova,Sports_and_games_people,female,14,4,7.0,2.0,5.0,0.7142857142857143
3026,Marvin_Gaye,Performers_and_composers,male,17,6,15.0,6.0,9.0,0.6
3029,Mary_II_of_England,Monarchs_of_Great_Britain,female,26,22,12.0,1.0,11.0,0.9166666666666666
3031,Mary_I_of_England,Monarchs_of_Great_Britain,female,33,24,8.0,2.0,6.0,0.75
3033,Mary_I_of_Scotland,Monarchs_of_Great_Britain,female,34,16,17.0,1.0,16.0,0.9411764705882353
3047,Matsuo_Bash%C5%8D,Writers_and_critics,male,2,3,,,,
3049,Matthew_Brettingham,Artists,male,10,1,,,,
3059,Max_Planck,Astronomers_and_physicists,male,18,15,9.0,1.0,8.0,0.8888888888888888
3060,Max_Weber,Human_Scientists,male,48,21,6.0,2.0,4.0,0.6666666666666666
3112,Michael_Faraday,Chemists,male,16,15,22.0,,22.0,1.0
3113,Michael_Jordan,Sports_and_games_people,male,15,6,58.0,7.0,51.0,0.8793103448275862
3114,Michael_Ramsey,Religious_figures_and_leaders,male,7,3,9.0,6.0,3.0,0.3333333333333333
3116,Michelangelo,Artists,male,14,29,20.0,3.0,17.0,0.85
3118,Mickey_Mantle,Sports_and_games_people,male,12,1,1.0,1.0,,
3127,Miguel_de_Cervantes,Writers_and_critics,male,12,14,,,,
3128,Mikhail_Gorbachev,Political_People,male,48,37,9.0,,9.0,1.0
3130,Miles_Davis,Performers_and_composers,male,19,9,8.0,,8.0,1.0
3141,Millard_Fillmore,USA_Presidents,male,16,8,6.0,,6.0,1.0
3157,Miranda_Otto,Actors_models_and_celebrities,female,14,1,8.0,1.0,7.0,0.875
3218,Mother_Teresa,Religious_figures_and_leaders,male,36,4,10.0,5.0,5.0,0.5
3237,Muhammad,Religious_figures_and_leaders,male,37,41,44.0,1.0,43.0,0.9772727272727273
3238,Muhammad_Ali,Sports_and_games_people,male,8,5,10.0,4.0,6.0,0.6
3239,Muhammad_Ali_Jinnah,Political_People,male,22,9,6.0,2.0,4.0,0.6666666666666666
3240,Muhammad_Iqbal,Writers_and_critics,male,32,2,2.0,2.0,,
3241,Muhammad_ibn_Musa_al-Khwarizmi,Astronomers_and_physicists,male,23,3,7.0,3.0,4.0,0.5714285714285714
3281,Nadia_Com%C4%83neci,Sports_and_games_people,female,12,1,,,,
3290,Napoleon_I_of_France,Historical_figures,male,48,118,18.0,2.0,16.0,0.8888888888888888
3295,Natalie_Portman,Actors_models_and_celebrities,female,31,5,24.0,10.0,14.0,0.5833333333333334
3318,Neil_Armstrong,Geographers_and_explorers,male,34,16,44.0,6.0,38.0,0.8636363636363636
3319,Neil_Young,Performers_and_composers,male,29,4,15.0,10.0,5.0,0.3333333333333333
3320,Nelson_Mandela,Political_People,male,42,34,16.0,1.0,15.0,0.9375
3355,Niccol%C3%B2_Machiavelli,Philosophers,male,10,14,5.0,,5.0,1.0
3356,Niccol%C3%B2_Paganini,Performers_and_composers,male,14,6,1.0,1.0,,
3360,Nicolaus_Copernicus,Astronomers_and_physicists,male,45,21,12.0,2.0,10.0,0.8333333333333334
3361,Niels_Bohr,Astronomers_and_physicists,male,28,22,10.0,2.0,8.0,0.8
3369,Nikola_Tesla,Astronomers_and_physicists,male,53,15,36.0,8.0,28.0,0.7777777777777778
3370,Nikola_Tesla,Engineers_and_inventors,male,53,15,36.0,8.0,28.0,0.7777777777777778
3371,Nikolai_Rimsky-Korsakov,Performers_and_composers,male,6,7,4.0,,4.0,1.0
3395,Norman_Borlaug,Human_Scientists,male,59,3,3.0,3.0,,
3413,Nostradamus,Religious_figures_and_leaders,male,25,2,3.0,3.0,,
3442,Olaudah_Equiano,Historical_figures,male,11,1,,,,
3450,Oliver_Cromwell,Historical_figures,male,32,48,14.0,4.0,10.0,0.7142857142857143
3451,Oliver_Cromwell,Monarchs_of_Great_Britain,male,32,48,14.0,4.0,10.0,0.7142857142857143
3453,Ollanta_Humala,Political_People,male,17,1,6.0,1.0,5.0,0.8333333333333334
3499,Osama_bin_Laden,Political_People,male,48,15,46.0,4.0,42.0,0.9130434782608695
3509,Otto_von_Bismarck,Historical_figures,male,26,9,11.0,2.0,9.0,0.8181818181818182
3529,Pablo_Picasso,Artists,male,18,31,27.0,8.0,19.0,0.7037037037037037
3576,Pat_Cash,Sports_and_games_people,male,15,3,2.0,2.0,,
3578,Paul_C%C3%A9zanne,Artists,male,10,12,12.0,8.0,4.0,0.3333333333333333
3579,Paul_Dirac,Astronomers_and_physicists,male,32,15,6.0,,6.0,1.0
3580,Paul_Kane,Artists,male,28,2,5.0,5.0,,
3581,Paul_McCartney,Performers_and_composers,male,54,20,86.0,15.0,71.0,0.8255813953488372
3582,Paul_of_Tarsus,Religious_figures_and_leaders,male,10,37,,,,
3593,Pedro_del_Valle,Military_People,male,16,1,,,,
3594,Pel%C3%A9,Sports_and_games_people,male,16,10,10.0,4.0,6.0,0.6
3598,Penda_of_Mercia,Historical_figures,male,14,4,6.0,,6.0,1.0
3608,Pericles,Military_People,male,21,12,9.0,3.0,6.0,0.6666666666666666
3620,Pete_Sampras,Sports_and_games_people,male,49,13,12.0,,12.0,1.0
3622,Peter_I_of_Russia,Historical_figures,male,10,16,8.0,,8.0,1.0
3623,Peter_Paul_Rubens,Artists,male,12,27,7.0,3.0,4.0,0.5714285714285714
3632,Philip_II_of_Spain,Historical_figures,male,27,26,6.0,,6.0,1.0
3681,Plato,Philosophers,male,44,76,25.0,3.0,22.0,0.88
3731,Pope_Benedict_XVI,Religious_figures_and_leaders,male,50,22,10.0,,10.0,1.0
3732,Pope_John_Paul_II,Religious_figures_and_leaders,male,114,50,17.0,1.0,16.0,0.9411764705882353
3733,Pope_Pius_XII,Religious_figures_and_leaders,male,50,13,12.0,,12.0,1.0
3797,Ptolemy,Astronomers_and_physicists,male,26,46,15.0,4.0,11.0,0.7333333333333333
3807,Pyotr_Ilyich_Tchaikovsky,Performers_and_composers,male,21,17,10.0,2.0,8.0,0.8
3810,Pythagoras,Mathematicians,male,17,16,24.0,4.0,20.0,0.8333333333333334
3816,Qin_Shi_Huang,Historical_figures,male,22,6,8.0,,8.0,1.0
3838,Rabindranath_Tagore,Writers_and_critics,male,65,12,7.0,3.0,4.0,0.5714285714285714
3859,Ralph_Nader,Political_People,male,27,4,1.0,1.0,,
3866,Raphael,Artists,male,24,28,11.0,2.0,9.0,0.8181818181818182
3893,Rembrandt,Artists,male,28,5,3.0,3.0,,
3894,Ren%C3%A9_Descartes,Philosophers,male,36,32,10.0,6.0,4.0,0.4
3914,Reza_Shah,Military_People,male,14,2,8.0,1.0,7.0,0.875
3924,Richard_Feynman,Astronomers_and_physicists,male,33,25,8.0,2.0,6.0,0.75
3925,Richard_Francis_Burton,Geographers_and_explorers,male,40,7,4.0,,4.0,1.0
3928,Richard_III_of_England,Monarchs_of_Great_Britain,male,27,15,11.0,4.0,7.0,0.6363636363636364
3930,Richard_II_of_England,Monarchs_of_Great_Britain,male,18,16,15.0,7.0,8.0,0.5333333333333333
3932,Richard_I_of_England,Monarchs_of_Great_Britain,male,25,19,11.0,1.0,10.0,0.9090909090909091
3933,Richard_Nixon,USA_Presidents,male,55,49,18.0,,18.0,1.0
3935,Richard_Stallman,Computing_People,male,23,14,,,,
3936,Richard_Wagner,Performers_and_composers,male,43,34,7.0,1.0,6.0,0.8571428571428571
3948,Roald_Amundsen,Geographers_and_explorers,male,14,1,12.0,3.0,9.0,0.75
3951,Robert_Boyle,Chemists,male,28,19,7.0,1.0,6.0,0.8571428571428571
3952,Robert_Gascoyne-Cecil%2C_3rd_Marquess_of_Salisbury,Political_People,male,15,15,,,,
3953,Robert_Oppenheimer,Astronomers_and_physicists,male,46,7,8.0,3.0,5.0,0.625
3955,Robert_Owen,Political_People,male,16,6,,,,
3957,Robert_Schumann,Performers_and_composers,male,15,16,6.0,,6.0,1.0
3985,Romulus_Augustus,Historical_figures,male,10,5,19.0,,19.0,1.0
3986,Ronald_Reagan,USA_Presidents,male,89,69,52.0,3.0,49.0,0.9423076923076923
3989,Rosa_Parks,Historical_figures,female,20,3,12.0,5.0,7.0,0.5833333333333334
3994,Rowan_Williams,Religious_figures_and_leaders,male,16,9,7.0,1.0,6.0,0.8571428571428571
4005,Rudolf_Vrba,Historical_figures,male,27,1,,,,
4006,Rudyard_Kipling,Writers_and_critics,male,45,22,3.0,3.0,,
4017,Rutherford_B._Hayes,USA_Presidents,male,14,7,13.0,,13.0,1.0
4026,S%C3%B8ren_Kierkegaard,Philosophers,male,31,9,4.0,,4.0,1.0
4050,Saladin,Historical_figures,male,18,17,9.0,1.0,8.0,0.8888888888888888
4056,Salvador_Dal%C3%AD,Artists,male,28,10,1.0,1.0,,
4062,Samuel_Beckett,Writers_and_critics,male,31,14,5.0,,5.0,1.0
4064,Samuel_Taylor_Coleridge,Writers_and_critics,male,22,21,,,,
4078,Sandy_Koufax,Sports_and_games_people,male,15,1,8.0,2.0,6.0,0.75
4086,Sardar_Vallabhbhai_Patel,Historical_figures,male,24,5,6.0,1.0,5.0,0.8333333333333334
4133,Sean_Connery,Actors_models_and_celebrities,male,22,9,16.0,7.0,9.0,0.5625
4146,Selena,Performers_and_composers,female,10,1,1.0,1.0,,
4175,Shaka,Historical_figures,male,3,2,12.0,1.0,11.0,0.9166666666666666
4180,Sheikh_Mujibur_Rahman,Historical_figures,male,20,2,8.0,2.0,6.0,0.75
4204,Sigmund_Freud,Human_Scientists,male,38,30,23.0,4.0,19.0,0.8260869565217391
4211,Sim%C3%B3n_Bol%C3%ADvar,Historical_figures,male,23,14,8.0,3.0,5.0,0.625
4221,Sitting_Bull,Historical_figures,male,8,3,6.0,6.0,,
4254,Socrates,Philosophers,male,17,20,50.0,4.0,46.0,0.92
4357,Stanis%C5%82aw_Koniecpolski,Historical_figures,male,15,3,1.0,1.0,,
4360,Stanley_Baldwin,Political_People,male,14,9,8.0,,8.0,1.0
4378,Stefan_Edberg,Sports_and_games_people,male,28,9,5.0,,5.0,1.0
4382,Stephen_Harper,Political_People,male,16,9,9.0,,9.0,1.0
4383,Stephen_Hawking,Astronomers_and_physicists,male,35,13,44.0,7.0,37.0,0.8409090909090909
4385,Stephen_Jay_Gould,Writers_and_critics,male,26,15,1.0,1.0,,
4428,Suleiman_the_Magnificent,Historical_figures,male,41,7,6.0,,6.0,1.0
4441,Sun_Yat-sen,Political_People,male,38,9,7.0,1.0,6.0,0.8571428571428571
4481,Sydney_Newman,Producers_directors_and_media_figures,male,15,2,5.0,1.0,4.0,0.8
4491,T._S._Eliot,Writers_and_critics,male,36,25,13.0,9.0,4.0,0.3076923076923077
4537,Tenzin_Gyatso%2C_14th_Dalai_Lama,Religious_figures_and_leaders,male,41,7,2.0,2.0,,
4538,Tenzing_Norgay,Geographers_and_explorers,male,8,4,12.0,,12.0,1.0
4626,Theodore_Roosevelt,USA_Presidents,male,60,48,28.0,3.0,25.0,0.8928571428571429
4636,Thomas_Aquinas,Religious_figures_and_leaders,male,23,25,10.0,1.0,9.0,0.9
4637,Thomas_Becket,Religious_figures_and_leaders,male,12,14,9.0,,9.0,1.0
4638,Thomas_Cranmer,Religious_figures_and_leaders,male,22,12,6.0,,6.0,1.0
4639,Thomas_Edison,Engineers_and_inventors,male,21,18,17.0,5.0,12.0,0.7058823529411765
4640,Thomas_Gainsborough,Artists,male,11,11,1.0,1.0,,
4641,Thomas_Hobbes,Philosophers,male,26,30,10.0,3.0,7.0,0.7
4642,Thomas_Jefferson,USA_Presidents,male,34,58,37.0,3.0,34.0,0.918918918918919
4644,Thomas_Malthus,Historical_figures,male,28,12,,,,
4645,Thomas_More,Religious_figures_and_leaders,male,35,16,6.0,,6.0,1.0
4646,Thomas_Pynchon,Writers_and_critics,male,45,7,,,,
4647,Thomas_Samuel_Kuhn,Philosophers,male,7,2,22.0,18.0,4.0,0.18181818181818182
4651,Thrasybulus,Military_People,male,7,2,4.0,,4.0,1.0
4665,Tiger_Woods,Sports_and_games_people,male,15,3,174.0,171.0,3.0,0.017241379310344827
4670,Tim_Berners-Lee,Computing_People,male,10,8,1.0,1.0,,
4671,Tim_Henman,Sports_and_games_people,male,34,4,10.0,,10.0,1.0
4679,Timur,Historical_figures,male,43,19,8.0,3.0,5.0,0.625
4701,Tony_Blair,Political_People,male,87,44,34.0,2.0,32.0,0.9411764705882353
4789,Tupac_Shakur,Performers_and_composers,male,18,4,23.0,5.0,18.0,0.782608695652174
4809,Tycho_Brahe,Astronomers_and_physicists,male,37,16,8.0,3.0,5.0,0.625
4833,Ulysses_S._Grant,Military_People,male,33,26,26.0,2.0,24.0,0.9230769230769231
4834,Ulysses_S._Grant,USA_Presidents,male,33,26,26.0,2.0,24.0,0.9230769230769231
4899,Vasco_da_Gama,Geographers_and_explorers,male,18,21,8.0,1.0,7.0,0.875
4915,Victor_Hugo,Writers_and_critics,male,31,12,12.0,6.0,6.0,0.5
4918,Victoria_of_the_United_Kingdom,Historical_figures,female,50,77,15.0,,15.0,1.0
4927,Vincent_van_Gogh,Artists,male,29,18,12.0,3.0,9.0,0.75
4928,Virgil,Writers_and_critics,male,30,29,9.0,3.0,6.0,0.6666666666666666
4939,Vitus_Bering,Geographers_and_explorers,male,8,2,,,,
4940,Vivien_Leigh,Actors_models_and_celebrities,female,32,8,6.0,1.0,5.0,0.8333333333333334
4941,Vladimir_Lenin,Political_People,male,37,50,22.0,,22.0,1.0
4949,Voltaire,Writers_and_critics,male,27,41,9.0,3.0,6.0,0.6666666666666666
4955,W._Mark_Felt,Historical_figures,male,22,2,13.0,8.0,5.0,0.38461538461538464
4967,Walt_Disney,Producers_directors_and_media_figures,male,26,15,22.0,18.0,4.0,0.18181818181818182
4968,Walt_Whitman,Writers_and_critics,male,15,12,10.0,3.0,7.0,0.7
4970,Walter_Raleigh,Historical_figures,male,22,10,2.0,2.0,,
4971,Walter_Scott,Writers_and_critics,male,17,18,6.0,1.0,5.0,0.8333333333333334
4977,Ward_Cunningham,Computing_People,male,3,2,7.0,1.0,6.0,0.8571428571428571
4978,Warren_G._Harding,USA_Presidents,male,38,9,12.0,,12.0,1.0
5003,Wayne_Rooney,Sports_and_games_people,male,16,1,18.0,2.0,16.0,0.8888888888888888
5019,Wernher_von_Braun,Engineers_and_inventors,male,35,12,9.0,1.0,8.0,0.8888888888888888
5065,Willem_Barents,Geographers_and_explorers,male,7,2,,,,
5066,William_Butler_Yeats,Writers_and_critics,male,16,20,13.0,2.0,11.0,0.8461538461538461
5067,William_Edington,Historical_figures,male,6,1,,,,
5068,William_Ewart_Gladstone,Historical_figures,male,40,20,14.0,2.0,12.0,0.8571428571428571
5069,William_Ewart_Gladstone,Political_People,male,40,20,14.0,2.0,12.0,0.8571428571428571
5070,William_Gilbert,Historical_figures,male,10,4,7.0,2.0,5.0,0.7142857142857143
5072,William_Harvey,Human_Scientists,male,7,7,,,,
5073,William_Henry_Harrison,USA_Presidents,male,17,12,10.0,,10.0,1.0
5074,William_Hogarth,Artists,male,22,15,4.0,,4.0,1.0
5075,William_Howard_Taft,Political_People,male,48,14,15.0,2.0,13.0,0.8666666666666667
5077,William_III_of_England,Monarchs_of_Great_Britain,male,39,42,10.0,3.0,7.0,0.7
5079,William_II_of_England,Monarchs_of_Great_Britain,male,14,10,13.0,2.0,11.0,0.8461538461538461
5081,William_IV_of_the_United_Kingdom,Monarchs_of_Great_Britain,male,27,25,16.0,1.0,15.0,0.9375
5083,William_I_of_England,Monarchs_of_Great_Britain,male,19,31,11.0,,11.0,1.0
5084,William_Mahone,Historical_figures,male,11,2,,,,
5085,William_McKinley,USA_Presidents,male,17,15,17.0,2.0,15.0,0.8823529411764706
5086,William_N._Page,Historical_figures,male,20,2,2.0,2.0,,
5087,William_Pitt_the_Younger,Political_People,male,29,11,6.0,1.0,5.0,0.8333333333333334
5088,William_Renshaw,Sports_and_games_people,male,4,3,9.0,2.0,7.0,0.7777777777777778
5090,William_Shakespeare,Writers_and_critics,male,16,144,32.0,2.0,30.0,0.9375
5091,William_Tecumseh_Sherman,Military_People,male,32,6,7.0,,7.0,1.0
5092,William_Thomson%2C_1st_Baron_Kelvin,Mathematicians,male,51,7,9.0,5.0,4.0,0.4444444444444444
5093,William_Wilberforce,Historical_figures,male,27,5,4.0,,4.0,1.0
5095,William_and_Mary,Monarchs_of_Great_Britain,female,4,8,14.0,8.0,6.0,0.42857142857142855
5096,William_the_Silent,Historical_figures,male,18,4,6.0,2.0,4.0,0.6666666666666666
5105,Winfield_Scott_Hancock,Historical_figures,male,9,4,1.0,1.0,,
5107,Winston_Churchill,Political_People,male,98,85,45.0,4.0,41.0,0.9111111111111111
5110,Witold_Pilecki,Historical_figures,male,17,3,7.0,2.0,5.0,0.7142857142857143
5112,Wolfgang_Amadeus_Mozart,Performers_and_composers,male,32,35,26.0,1.0,25.0,0.9615384615384616
5122,Woodrow_Wilson,USA_Presidents,male,45,43,29.0,1.0,28.0,0.9655172413793104
5139,Wright_brothers,Engineers_and_inventors,male,6,4,20.0,4.0,16.0,0.8
5148,Yagan,Historical_figures,male,19,1,2.0,2.0,,
5173,Yuri_Gagarin,Historical_figures,male,9,13,20.0,2.0,18.0,0.9
5176,Yuri_Knorosov,Historical_figures,male,22,1,,,,
5179,Zachary_Taylor,Political_People,male,18,14,9.0,,9.0,1.0
5188,Zhang_Qian,Historical_figures,male,19,3,1.0,1.0,,
5190,Zheng_He,Historical_figures,male,39,8,7.0,2.0,5.0,0.7142857142857143
5191,Ziad_Jarrah,Historical_figures,male,25,1,11.0,6.0,5.0,0.45454545454545453
5197,Zionism,Political_People,male,74,25,12.0,2.0,10.0,0.8333333333333334
5200,Zoroaster,Religious_figures_and_leaders,male,28,9,5.0,1.0,4.0,0.8
